"","language","glottolog","genus","print","lat","lon","P3.hjust","P3.vjust","P3.printname","Oc.printname","Oc.hjust","Oc.vjust","Art.neq.3rd","Pers3","third.Dem","NomPers.art.possible"
"1","Japanese","nucl1643","Japonic",1,35,135,0.6,1.6,"Japanese","Japanese",-0.1,0.5,"n","y","n",NA
"2","Korean","kore1280","Koreanic",1,37.5,128,0.4,-0.8,"Korean","Korean",0,-0.7,"n","y","n",NA
"3","Evenki","even1259","Tungusic",1,61.972,94.689,0.5,-0.8,"Evenki","Evenki",0.5,-0.7,"n","y","n",NA
"4","Turkish","nucl1301","Turkic",1,39.8667,32.8667,0,1.5,"Turkish","Turkish",0,1.5,"n","y","y",NA
"5","Mangarayi","mang1381","Mangarrayi-Maran, Mangarrayi",1,-14.8,133.5,1.1,0.5,"Mangarayi","Mangarayi",1.15,0.5,"n","y","y",NA
"6","Kayardild","kaya1319","Tangkic",1,-17.0695,139.489,1.1,0.3,"Kayardild","Kayardild",0.3,1.7,"n","y","n",NA
"7","Diyari","dier1241","Pama-Nyungan, Karna",1,-28.1667,138,-0.2,0.5,"Diyari","Diyari",0.5,-0.7,"n","y","n",NA
"8","Warlpiri","warl1254","Pama-Nyungan, Desert Nyungic",1,-20.1008,131.05,1.15,0.8,"Warlpiri","Warlpiri",1.15,0.5,"n","y","n",NA
"9","Pitjantjatjara","pitj1243","Pama-Nyungan, Desert Nyungic",1,-26.9704,131.357,0.9,1.6,"Pitjantjatjara","Pitjantjatjara",0.5,-0.8,"n","y","n",NA
"10","Guugu Yimidhirr","gugu1255","Pama-Nyungan, Yimidhirr-Yalanji-Yidinic",1,-14.9424,144.831,1,-0.4,"GYimidhirr","Guugu Yimidhirr",0.5,-0.7,"n","y","n",NA
"11","Kuku-Yalanji","kuku1273","Pama-Nyungan, Yimidhirr-Yalanji-Yidinic",1,-16.0036,145.188,-0.1,0.6,"KYalanji","Kuku-Yalanji",-0.1,0.5,"n","y","n",NA
"12","Imonda","imon1245","Border, Waris",1,-3.31228,141.171,0.5,-0.7,NA,"Imonda",1.15,0.5,"n","y","n",NA
"13","Bilua","bilu1245","Bliua",1,-7.92388,156.663,0.7,-0.8,"Bilua","Bilua",1.2,-0.2,"n","y","y",NA
"14","Lavukaleve","lavu1241","Lavukaleve",1,-9.05569,159.119,0,1.6,"Lavukaleve","Lavukaleve",0.3,1.7,"y","y","y","y"
"15","Manambu","mana1298","Sepik, Ndu",1,-4.19082,142.862,0.1,-0.6,NA,"Manambu",-0.1,0.1,"n","y","n",NA
"16","Awtuw","awtu1239","Sepik, Ram",1,-3.53129,141.928,1,1.6,NA,"Awtuw",1,1.6,"n","y","n",NA
"17","Fore","fore1270","TNG, Kainantu-Goroka",1,-6.64473,145.5065,0.5,1.6,NA,"Fore",1,1.7,"n","y","n",NA
"18","Yagaria","yaga1260","TNG, Kainantu-Goroka",1,-6.32432,145.388,-0.8,0.8,NA,"Yagaria",-0.2,0.4,"n","y","n",NA
"19","Amele","amel1241","TNG, Madang",1,-5.29126,145.687,-0.7,-0.2,NA,"Amele",0.5,1.4,"n","y","n",NA
"20","Usan","usan1239","TNG, Madang",1,-4.84265,145.362,0.4,-0.7,NA,"Usan",-0.2,0,"y","y","n","unclear"
"21","Kobon","kobo1249","TNG, Madang",1,-5.16446,144.46,1.4,1.3,NA,"Kobon",1,1.4,"n","y","n",NA
"22","Kamang","kama1365","TNG, TAP",1,-8.26897,124.792,0.8,-0.8,NA,"Kamang",0.1,-0.9,"y","y","n","unclear"
"23","Sawila","sawi1256","TNG, TAP",1,-8.29105,125.078,0.2,1.7,NA,"Sawila",-0.2,0.4,"n","y","n",NA
"24","Kaera","kaer1234","TNG, TAP",1,-8.3287,124.0177,NA,NA,NA,"Kaera",1.2,0.4,"n","y","n",NA
"25","Western Pantar","lamm1241","TNG, TAP",1,-8.52787,124.057,1.15,1.1,NA,"W.Pantar",0.8,1.6,"y","y","n","y"
"26","Hausa","haus1257","Afroasiatic, Chadic",1,11.1513,8.7804,0.4,-0.7,"Hausa","Hausa",0.4,-0.7,"y","y","n","y"
"27","Mupun","mwag1236","Afroasiatic, Chadic",1,9.47205,8.96522,-0.2,0.4,"Mupun","Mupun",-0.1,0.4,"y","y","n","y"
"28","Cairene Egyptian Colloquial Arabic","egyp1253","Afroasiatic, Semitic",1,31,31,0.5,1.7,"Cair. Arabic","Cair. Arabic",0.8,1.6,"y","n","n","y"
"29","Gulf Arabic","gulf1241","Afroasiatic, Semitic",1,30.17,47.5,0.4,-0.8,"Gulf Arabic","Gulf Arabic",0.4,-0.7,"y","n","n","y"
