language,glottolog,sortclass,family,genus.print,genus.WALS,printname,Oc.printname,print,lat,lon,hjust,vjust,Oc.hjust,Oc.vjust,area.glottolog,area.WALS,ref.NomPers,NomPers,APC,WO.WALS,WO,adpos.manual,adpos.WALS,adpos,genitive.WALS,genitive,DemDir.WALS,DemDir.manual,DemDir,ArtOrder,Art.with.Nompers,APC.dir,boundPers,boundPers.simultAPC,PPDC,PPDC.ref
Japanese,nucl1643,(Altaic?) Isolate,Japonic,Japanese,Japanese,Japanese,Japanese,1,35,135,0.6,1.6,-0.1,0.5,Eurasia,Eurasia,"(Q) Hinds 1988:254, 261; Noguchi 1997:780; Furuya 2008:sec. 3.2; Inokuma 2009",y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,y-nn,Furuya 2008:153;  Noguchi 1997:777;   Coulmas 1982:214
Korean,kore1280,(Altaic?) Isolate,Koreanic,Korean,Korean,Korean,Korean,1,37.5,128,0.4,-0.8,0,-0.7,Eurasia,Eurasia,"(Q) Sohn 1994:284, 292; Choi 2014: 151-154",y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,y-nn,Sohn 1994:281
Evenki,even1259,(Altaic?) Tungusic,Tungusic,Tungusic,Tungusic,Evenki,Evenki,1,61.972,94.689,0.5,-0.8,0.5,-0.7,Eurasia,Eurasia,"(Q) Nedjalkov 1997:197, 199",y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Turkish,nucl1301,(Altaic?) Turkic,Turkic,Turkic,Turkic,Turkish,Turkish,1,39.8667,32.8667,-0.1,1.5,0,1.5,Eurasia,Eurasia,"(Q) Kornfilt 1997:288, 297f.",y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Mangarrayi,mang1381,"(Australian) Gunwingguan, Mangarayic",Mangarrayi-Maran,Mangarrayi,Mangarrayi,Mangarayi,Mangarayi,1,-14.8,133.5,1.1,0.5,1.15,0.5,Australia,Australia,"(Q) Merlan 1989 [1982]: 103, 203",y,y,OV,OV,post,pre,pre,NoDom,NoDom,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Diyari,dier1241,"(Australian) Pama-Nyungan, Karna",Pama-Nyungan,Central Pama-Nyungan,Central Pama-Nyungan,Diyari,Diyari,1,-28.1667,138,-0.2,0.5,0.5,-0.7,Australia,Australia,"Austin 1981:97f.; Austin 2013:102f. (106), 119 (175), 150 (311)",y,y,OV,OV,post,NA,unclear,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,y-nn,"Austin 1981:61, (36)"
Warlpiri,warl1254,"(Australian) Pama-Nyungan, Ngarrkic",Pama-Nyungan,Western Pama-Nyungan,Western Pama-Nyungan,Warlpiri,Warlpiri,1,-20.1008,131.05,1.2,0.5,1.15,0.5,Australia,Australia,Reece 1970: 70;  Hale 1973: 316f.;  (Simpson 1991),y,y,No dominant order,NC,post,NA,post,NA,GenN,NA,NDem,NDem,NA,NA,post,n,NA,NA,NA
Pitjantjatjara,pitj1243,"(Australian) Pama-Nyungan, Wati",Pama-Nyungan,Western Pama-Nyungan,Western Pama-Nyungan,Pitjantjatjara,Pitjantjatjara,1,-26.9704,131.357,0.9,1.6,0.5,-0.8,Australia,Australia,Bowe 1990:49-51,y,y,OV,OV,post,post,post,GenN,GenN,NDem,both,NDem,NA,NA,both,n,NA,y,Bowe 1990:48-51
Guugu Yimidhirr,gugu1255,"(Australian) Pama-Nyungan, Yimidhirr-Yalanji-Yidinic",Pama-Nyungan,Northern Pama-Nyungan,Northern Pama-Nyungan,GYimidhirr,Guugu Yimidhirr,1,-14.9424,144.831,0.5,-0.5,0.5,-0.7,Australia,Australia,"Haviland 1979:104, 156f.",y,y,OV,OV,post,NA,unclear,NoDom,NoDom,DemN,both,DemN,NA,NA,both,n,NA,y,"Haviland 1979: 73, (107); 157, (423); 160"
Kuku-Yalanji,kuku1273,"(Australian) Pama-Nyungan, Yimidhirr-Yalanji-Yidinic",Pama-Nyungan,Northern Pama-Nyungan,Northern Pama-Nyungan,KYalanji,Kuku-Yalanji,1,-16.0036,145.188,-0.1,0.5,-0.1,0.5,Australia,Australia,"Patz 2002:120f, 202f.",y,y,OV,OV,post,pre,pre,NoDom,NoDom,mixed,both,mixed,NA,NA,both,n,NA,y,"Patz 2002:204, (625)"
Kayardild,kaya1319,(Australian) Tangkic,Tangkic,Tangkic,Tangkic,Kayardild,Kayardild,1,-17.0695,139.489,0.3,1.65,0.3,1.7,Australia,Australia,"Evans 1995:239, 241; Round 2013: 141",y,y,No dominant order,NC,post,NoAdpos,NoAdpos,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,y,"Evans 1995:251, (6-37)"
Menya,meny1245,"(Papuan) Angan, Nucelar Angan",Angan,Nuclear Angan,Nuclear Angan,NA,Menya,1,-7.17425,146.071,-0.25,1.6,0,1.5,Papunesia,Papunesia,"Whitehead 2006:40, 46, 56f., Whitehead 2013:9f., 18f.",y,n,OV,OV,post,post,post,GenN,GenN,NDem,NDem,NDem,NA,NA,NA,post,pre,y,"Whitehead 2006:30, (58/59)"
Momu,fass1245,"(Papuan) Baibai-Fas, Momu-Fas",Baibai-Fas,Baibai-Fas,Baibai-Fas,NA,Momu,1,-3.10868,141.64,-0.1,-0.7,0,-0.6,Papunesia,Papunesia,Honeyman2017:169f.,y,y,OV,OV,post,post,post,GenN,GenN,NA,NDem,NDem,NA,NA,pre,n,NA,y,"Honeyman 2016:559, (9/10)"
Imonda,imon1245,"(Papuan) Border, Waris",Border,Border,Border,NA,Imonda,1,-3.31228,141.171,1.25,1.3,1.15,0.5,Papunesia,Papunesia,"Seiler 1985:44, 61f.",y,y,OV,OV,post,post,post,GenN,GenN,mixed,both,mixed,NA,NA,both,n,NA,NA,NA
Bilua,bilu1245,(Papuan) Bilua,Bilua,Bilua,Bilua,NA,Bilua,1,-7.92388,156.663,0.8,-0.8,1.2,-0.2,Papunesia,Papunesia,"Obata 2003: 47-49, 76, 79, 84f., 87-89, 92f.",y,y,VO,VO,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,post,pre,y,"Obata 2003: 289, (8)"
Lavukaleve,lavu1241,(Papuan) Lavukaleve,Lavukaleve,Lavukaleve,Lavukaleve,NA,Lavukaleve,1,-9.05569,159.119,0,1.6,1.15,0.5,Papunesia,Papunesia,Terrill 2003:171-173,y,y,OV,OV,post,post,post,GenN,GenN,NA,NDem,NDem,NArt,y,post,n,NA,y-nn,"Terrill 2003:181, (220-1)"
Moskona,mosk1236,"(Papuan) East Bird’s Head, Meax",East Bird’s Head,East Bird's Head,East Bird's Head,NA,Moskona,1,-1.62201,133.145,0,-0.7,0.9,1.6,Papunesia,Papunesia,"Gravelle 2010:91, 222-224, 344",y,y,NA,VO,pre,NA,pre,NA,GenN,NA,NDem,NDem,NA,NA,pre,pre,pre,y,"Gravelle 2010:187, 224"
Sougb,mani1235,"(Papuan) East Bird’s Head, Sougb",East Bird’s Head,East Bird's Head,East Bird's Head,NA,Sougb,1,-1.49611,133.95,NA,NA,-0.2,0.6,Papunesia,Papunesia,"Reesink 2002:269f., 274",y,y,VO,VO,pre,pre,pre,GenN,GenN,NDem,NDem,NDem,NA,NA,pre,n,NA,y,"Reesink 2002:271, (13)"
Hatam,hata1243,"(Papuan) Hatam-Mansin, Hatam",Hatam-Mansin,Hatim-Mansim,Hatim-Mansim,NA,Hatam,1,-1.13531,134.037,NA,NA,0,-0.7,Papunesia,Papunesia,Reesink 1999:195,y,y,VO,VO,pre,pre,pre,GenN,GenN,NDem,NDem,NDem,NA,NA,pre,n,NA,y,"Reesink 1999:41, 195"
Maybrat,maib1239,(Papuan) Maybrat-Karon,Maybrat-Karon,Maybrat,Maybrat,NA,Maybrat,1,-1.3679,132.591,1.4,-0.2,0.7,-0.8,Papunesia,Papunesia,"Dol 2007:141, 158, 172,  (281)",y,y,VO,VO,pre,pre,pre,NoDom,NoDom,NDem,NDem,NDem,NA,NA,post,n,NA,NA,NA
Urim,urim1252,"(Papuan) Nuclear Torricelli, Urim",Torricelli,Urim,Urim,NA,Urim,1,-3.58018,142.653,0.2,-0.7,-0.2,0,Papunesia,Papunesia,"Hemmilä & Luoma 1987:123, 125",y,y,NA,OV,pre,NA,pre,NA,NoDom,NA,NDem,NDem,NA,NA,pre,n,NA,y,Hemmilä & Luoma 1987:140
Savosavo,savo1255,(Papuan) Savosavo,Savosavo,Savosavo,Savosavo,NA,Savosavo,1,-9.12853,159.814,NA,NA,0.3,1.7,Papunesia,Papunesia,"Wegener 2012:147, 155-159",y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,ArtN,unclear,post,n,NA,y-nn,Wegener 2012:86
Manambu,mana1298,"(Papuan) Sepik, Ndu",Sepik,"Sepik, Ndu",Ndu,NA,Manambu,1,-4.19082,142.862,-0.1,-0.7,-0.1,0.1,Papunesia,Papunesia,"Aikhenvald 2008:197f., 508-513",y,y,NA,OV,post,NA,post,NA,GenN,NA,DemN,DemN,NA,NA,pre,n,NA,y,Aikhenvald 2008:198
Awtuw,awtu1239,"(Papuan) Sepik, Ram",Sepik,"Sepik, Ram",Ram,NA,Awtuw,1,-3.53129,141.928,0.5,-0.7,1,1.6,Papunesia,Papunesia,Feldman 1986:120-124,y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Alamblak,alam1246,"(Papuan) Sepik, Sepik Hill",Sepik,"Sepik, Sepik Hill",Sepik Hill,NA,Alamblak,1,-4.66307,143.316,1.7,1.25,1.15,0.8,Papunesia,Papunesia,"Bruce 1984:90-92, 96f.",y,n,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,NA,post,NA,y,Bruce 1984:90
Fore,fore1270,"(Papuan) TNG, Kainantu-Goroka",TNG,"\gls{tng}, Fore-Gimi",Fore-Gimi,NA,Fore,1,-6.64473,145.5065,-0.2,1.5,1,1.7,Papunesia,Papunesia,"Scott 1978:79f., 100f.",y,n,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,NA,post,NA,NA,NA
Hua,huaa1250,"(Papuan) TNG, Kainantu-Goroka",TNG,"\gls{tng}, Siane-Yagaria",Siane-Yagaria,NA,Hua,1,-6.353409,145.339379,1,1.45,1.3,0.8,Papunesia,Papunesia,"Haiman 1980:226-232, 239f.",y,n,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,NA,post,NA,NA,NA
Yagaria,yaga1260,"(Papuan) TNG, Kainantu-Goroka",TNG,"\gls{tng}, Siane-Yagaria",Siane-Yagaria,NA,Yagaria,1,-6.32432,145.388,-0.9,0.5,-0.2,0.4,Papunesia,Papunesia,"Renck 1975:17f., 166, 181",y,y,OV,OV,post,post,post,GenN,GenN,NA,DemN,DemN,NA,NA,post,post,NA,NA,NA
Amele,amel1241,"(Papuan) TNG, Madang",TNG,"\gls{tng}, Mabuso",Mabuso,NA,Amele,1,-5.29126,145.687,-0.5,-0.3,0.5,1.4,Papunesia,Papunesia,"(Q) Roberts 1987:162, 201, 209f.",y,y,OV,OV,post,post,post,GenN,GenN,NDem,NDem,NDem,NA,NA,post,n,NA,y,"Roberts 1987:210, (284); 218, (315)"
Kobon,kobo1249,"(Papuan) TNG, Madang",TNG,"\gls{tng}, Kalam-Kobon",Kalam-Kobon,NA,Kobon,1,-5.16446,144.46,1.4,1.25,1,1.4,Papunesia,Papunesia,"(Q) Davies 1989:107f., 157",y,y,OV,OV,post,post,post,GenN,GenN,NDem,NDem,NDem,NA,NA,both,n,NA,NA,NA
