\^{\textschwa},ə̂
\'{\textbari},ɨ́
\'{\textepsilon},έ
\'{\textschwa},ə́
\={\i},ī
\={a},ā
\={e},ē
\={g},ḡ
\={ii},ĩĩ
\={i},i̅
\={u},ū
\={ã},ã̅
\={\textsci},ī
\ae,æ
\b{ô},ô̱
\cb{t},ț
\c{s},ş
\d{l},ḷ
\d{n},ṇ
\d{t},ṭ
$\emptyset$,∅
$\epsilon$,ε
\i,ı
\ldots,…
\ng,ŋ
\super{h},ʰ
\textbari,ɨ
k\textbottomtiebar{h},k͜h
\textcrh,ħ
\textctz,ʑ
\textdoublebarpipe,ǂ
\textdoublepipe,ǁ
\textdownstep,↓
\textepsilon,ε
\textglotstop,ʔ
\textgravemacron{a},ā̀
\textltailn,ɲ
\textopeno,ɔ
\textperiodcentered,·
\textrevglotstop,ʕ
\textrtaill,ɭ
\textrtailn,ɳ
\textrtailt,ʈ
\textschwa,ə
\texttildelow,·
\textturnv,ʌ
\textupsilon,ʊ
\underline{n},ṉ
\underline{r},ṟ
\u{a},ă
\v{c},č
\v{i},ǐ
\v{s},š
$^{51}$,⁵¹
$^{24}$,²⁴
$^{55}$,⁵⁵
$^{11}$,¹¹
$^h$,ʰ
$^o$,ᵒ
\~{i},ĩ
\~{o},õ
"\""{e}",ë
\v{C},Č
"\""em",ëm
"\""{i}",ï
